COMP_ID	COMP_NOTES	WATCH_LEVEL	COMP_LGL_NAME	COMP_DBA_NAME	COMP_ADDR	COMP_CITY	COMP_ST	COMP_POST_CODE	COMP_PHONE	COMP_FAX	COMP_DOCKET_PREFIX	COMP_DOCKET_NUMBER	COMP_DOT	COMP_INTRASTATE_STATE	COMP_INTRASTATE_CODE	COMP_DUNS	AUTH_COM	AUTH_CONT	AUTH_BRK	AUTH_PEN_COM	AUTH_PEN_CONT	AUTH_PEN_BRK	AUTH_RVK_COM	AUTH_RVK_CONT	AUTH_RVK_BRK	AUTH_BIPD	AUTH_CARGO	AUTH_BOND	DOT_CARGO_POL	DOT_CARGO_CARRIER	DOT_CARGO_FROM	DOT_CARGO_TO	DOT_CARGO_EFF_DATE	DOT_CARGO_CAN_DATE	DOT_PRI_POL	DOT_PRI_CARRIER	DOT_PRI_FROM	DOT_PRI_TO	DOT_PRI_EFF_DATE	DOT_PRI_CAN_DATE	DOT_XS_POL	DOT_XS_CARRIER	DOT_XS_FROM	DOT_XS_TO	DOT_XS_EFF_DATE	DOT_XS_CAN_DATE	CARGO_EFF_DATE	CARGO_EXP_DATE	CARGO_CAN	CARGO_CAN_DATE	CARGO_CONF	CARGO_POL	CARGO_AGT	CARGO_AGT_PHONE	CARGO_AGT_FAX	CARGO_UDW	CARGO_LAST_UPD	CARGO_COVERAGE_DESC	CARGO_MAX_LIMIT	CARGO_LIMITS	AUTO_EFF_DATE	AUTO_EXP_DATE	AUTO_CAN	AUTO_CAN_DATE	AUTO_CONF	AUTO_POL	AUTO_AGT	AUTO_AGT_PHONE	AUTO_AGT_FAX	AUTO_UDW	AUTO_LAST_UPD	SCHEDULED_AUTO_FLAG	AUTO_COVERAGE_DESC	AUTO_LIMITS	GENERAL_EFF_DATE	GENERAL_EXP_DATE	GENERAL_CAN	GENERAL_CAN_DATE	GENERAL_CONF	GENERAL_POL	GENERAL_AGT	GENERAL_AGT_PHONE	GENERAL_AGT_FAX	GENERAL_UDW	GENERAL_LAST_UPD	GENERAL_COVERAGE_DESC	GENERAL_LIMITS	SAFE_RATE	SAFE_RATE_DATE	TOTAL_INSPECTIONS	VEHICLE_INSPECTIONS	VEHICLE_OOS	DRIVER_INSPECTIONS	DRIVER_OOS	HAZMAT_INSPECTIONS	HAZMAT_OOS	CRASHES_TOTAL	CRASHES_FATAL	CRASHES_INJURY	CRASHES_TOW	ENTITY_STATUS	ENTITY_TYPE	OPER_TYPE	OOS_DATE	MCS150_MILEAGE	MCS150_YEAR	MCS150_DATE	POWER_UNITS	DRIVERS	COMM_GNL_FRT	COMM_AG	COMM_BEV	COMM_BLD_MTL	COMM_CHEM	COMM_COAL	COMM_CONS	COMM_DRY_BULK	COMM_PROD	COMM_GARB	COMM_GRN	COMM_HOUSE	COMM_LQD_GAS	COMM_LVSTK	COMM_LUMB	COMM_MACH_LO	COMM_MEAT	COMM_MET	COMM_MOB_HM	COMM_VEH	COMM_OIL_EQP	COMM_PAP_PROD	COMM_REF_FOOD	COMM_UTL	COMM_DRIVE	COMM_INTER	COMM_PASS	COMM_MAIL	COMM_WATER	
		2	TRANSSTAR CARRIER INC		2268 LANDMEIER RD SUITE C	ELK GROVE VILLAGE	IL	60007	6303661069	3126195128	MC	833858	2420984				A	N	N	N	N	N	N	N	N	750000	N	N							TP9882845 02	THE INSURANCE CO OF THE STATE OF PENNSYLVANIA	0	750000	08/16/2018								08/16/2018	08/16/2019	N		High	QT6608J905523TIL18	HNI RISK SERVICES OF ILLINOIS	8473305000	8477051075	TRAVELERS PROPERTY AND CASUALTY CO OF AMERICA	08/17/2018		100000	Reefer Breakdown Ded. $2,500~Per Vehicle $100,000	08/16/2018	08/16/2019	N		High	TP988284502	HNI RISK SERVICES OF ILLINOIS	8473305000	8477051075	THE INSURANCE COMPANY OF THE STATE OF PENNSYLVANIA	08/17/2018	N	Non-owned Autos~All Owned Autos~Hired Autos	Combined Single Limit (Each Accident) $1,000,000	08/16/2018	08/16/2019	N		High	TRKILF136570634	HNI RISK SERVICES OF ILLINOIS	8473305000	8477051075	ILLINOIS UNION INSURANCE COMPANY	08/17/2018	Commercial General Liability~Occur	Damage To Rented Premises (Each Occurrence) $100,000~General Aggregate $2,000,000~Medical Expense (Any One Person) $5,000~Each Occurrence $1,000,000~Personal & Adv Injury $1,000,000			161	104	18	160	4	2	0	6	0	1	5	A	CARRIER	Interstate		2250000	2018	01/29/2019	27	27	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	
		2	INTERSTATE CARGO INC		380 INTERNATIONAL BLVD STE A	BOLINGBROOK	IL	60440	6303265264	6305172457	MC	842023	2440904																																																																											C	05/30/2017	1	1	0	1	1	0	0	2	0	0	2	A	CARRIER	Interstate		6917840	2015	09/08/2017	24	24	Y	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	
		2	CBS TRANS INC		2118 PLUMM GROVE RD UNIT 298	ROLLING MEADOWS	IL	60008	7023500577	8479074616	MC	613260	1668403				A	A	N	N	N	N	N	N	N	750000	N	N							JNG000109-00	STATE NATIONALSPECIALTY INSCO/NATIONAL SPECIA	0	750000	10/15/2018								10/15/2018	10/15/2019	N		High	IHD D716308-00	ARACHAS GROUP LLC	6302894410	6302897726	HANOVER INSURANCE CO.	10/17/2018		100000	Limit $100,000~Deductible $1,000	10/15/2018	10/15/2019	N		High	JNG000109-00	ARACHAS GROUP LLC	6302894410	6302897726	NATIONAL SPECIALTY INSURANCE	10/17/2018	Y	Scheduled Autos~TRUCKING~See Description Box	Combined Single Limit (Each Accident) $1,000,000	10/15/2018	10/15/2019	N		High	WGL000118-00	ARACHAS GROUP LLC	6302894410	6302897726	LLOYDS	10/17/2018	Commercial General Liability~Occur~General Aggregate Limit Applies Per Policy	Products - Comp/Op Agg $2,000,000~General Aggregate $2,000,000~Personal & Adv Injury $1,000,000~FIRE DAMAGE LEG $100,000~Each Occurrence $1,000,000~Medical Expense (Any One Person) $5,000			27	11	2	27	1	1	0	0	0	0	0	A	CARRIER	Interstate		306097	2017	08/22/2018	7	5	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	
		2	BOUCHE TRUCKING INCORPORATED	LGA TRUCKING	12556 WEAVER RD	EL PASO	TX	79928	9158522324	9158523977	MC	292382	608342				N	A	N	N	N	N	N	N	N	1000000	N	N							WPP 8200034-00	NATIONAL INTERSTATE INSURANCE COMPANY	0	1000000	12/02/2014								06/01/2018	06/01/2019	N		High	MIM1009421	ARTHUR J GALLAGHER RISK MANAGEMENT SERVICES INC	8019241400	8019241441	BERKLEY NATIONAL INSURANCE COMPANY	05/31/2018		250000	Deductible $55,000~Limit $250,000	06/01/2018	06/01/2019	N		High	WPP820003404	ARTHUR J GALLAGHER RISK MANAGEMENT SERVICES INC	8019241400	8019241441	NATIONAL INTERSTATE INSURANCE COMPANY	05/31/2018	N	Hired Autos~Non-owned Autos~Any Auto	Combined Single Limit (Each Accident) $1,000,000	06/01/2018	06/01/2019	N		High	WPP820003404	ARTHUR J GALLAGHER RISK MANAGEMENT SERVICES INC	8019241400	8019241441	NATIONAL INTERSTATE INSURANCE COMPANY	05/31/2018	General Aggregate Limit Applies Per Policy~Occur	Damage To Rented Premises (Each Occurrence) $100,000~General Aggregate $2,000,000~Products - Comp/Op Agg $1,000,000~Each Occurrence $1,000,000~Medical Expense (Any One Person) $5,000~Personal & Adv Injury $1,000,000	S	10/13/2015	215	135	22	215	11	1	0	6	0	2	4	A	CARRIER	Interstate		12101489	2017	03/26/2019	99	137	Y	N	Y	Y	N	N	N	Y	Y	N	N	Y	N	N	N	Y	N	Y	N	N	N	Y	N	N	N	N	N	N	N	
		2	BROTHERS TRUCKING LLC		900 GRAND CANYON RD	INMAN	SC	29349	2514588272	2518007369	MC	815292	2375364				A	N	N	N	N	N	N	N	N	750000	N	N							CA 0407303	PROGRESSIVE NORTHERN INSURANCE COMPANY	0	750000	02/13/2019								02/13/2019	02/13/2020	N		High	00407303-0	TURNER & HAMRICK LLC	3345667665	3345667215	PROGRESSIVE CASUALTY INS. CO.	02/12/2019		100000	Deductible $1,000~Limit $100,000	02/13/2019	02/13/2020	N		High	00407303-0	TURNER & HAMRICK LLC	3345667665	3345667215	PROGRESSIVE CASUALTY INS. CO.	02/12/2019	Y	Scheduled Autos	Combined Single Limit (Each Accident) $1,000,000																26	16	5	26	0	0	0	1	0	0	1	A	CARRIER	Interstate		406094	2017	02/04/2019	5	5	Y	N	N	Y	N	N	Y	N	N	N	N	N	N	N	Y	Y	N	Y	N	N	N	Y	N	N	N	N	N	N	N	
		2	COASTAL TRANSPORT LLC		2920-C BRECKSVILLE RD	RICHFIELD	OH	44286	3306590012	3306590073	MC	794107	2326130				A	N	N	N	N	N	N	N	N	750000	N	N							CAT 0010936-00	NATIONAL INTERSTATE INSURANCE COMPANY	0	750000	12/12/2017								12/12/2018	12/12/2019	N		High	MXI 93079412	NATIONAL RISK MANAGEMENT SERVICES	8009623036	4402472714	AGCS MARINE INSURANCE COMPANY	12/11/2018		250000	Deductible $5,000~Per Vehicle $250,000	12/12/2018	12/12/2019	N		High	CAT 0010936-01	NATIONAL RISK MANAGEMENT SERVICES	8009623036	4402472714	NATIONAL INTERSTATE INS CO	12/11/2018	N	EXCEPT PRIVATE PASSENGER OR SERVICE TYPE~Any Auto	Combined Single Limit (Each Accident) $1,000,000	12/12/2018	12/12/2019	N		High	GLT 0010936-01	NATIONAL RISK MANAGEMENT SERVICES	8009623036	4402472714	NATIONAL INTERSTATE INS CO	12/11/2018	Occur~Commercial General Liability~General Aggregate Limit Applies Per Policy	Damage To Rented Premises (Each Occurrence) $100,000~Each Occurrence $1,000,000~Products - Comp/Op Agg $2,000,000~Medical Expense (Any One Person) $5,000~EMPLOYER'S LIABILITY $1,000,000~Personal & Adv Injury $1,000,000~General Aggregate $2,000,000			58	25	3	58	4	0	0	4	0	1	3	A	CARRIER/SHIPPER	Interstate		3500000	2018	02/01/2019	24	30	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	
		2	TRANSPORT CORPORATION OF AMERICA INC	TRANSPORT AMERICA	1715 YANKEE DOODLE ROAD	EAGAN	MN	55121	6519052824	6519945754	MC	151556	183949				A	A	A	N	N	N	N	N	N	1000000	N	Y							016067969	LIBERTY MUTUAL INSURANCE CO.	0	1000000	12/01/2016								03/01/2019	03/01/2020	N		High	N14432413	MCGRIFF, SEIBELS & WILLIAMS OF OREGON	5039436621	5039436622	CHUBB INSURANCE COMPANY OF CANADA	03/01/2019		100000	PER OCCURRENCE $100,000	03/01/2019	03/01/2020	N		High	XSA H25275615/MMT H25275652	MCGRIFF, SEIBELS & WILLIAMS OF OREGON	5039436621	5039436622	ACE AMERICAN INSURANCE COMPANY	03/01/2019	N	Any Auto	Combined Single Limit (Each Accident) $1,000,000	03/01/2019	03/01/2020	N		High	XSL G71237564	MCGRIFF, SEIBELS & WILLIAMS OF OREGON	5039436621	5039436622	ACE AMERICAN INSURANCE COMPANY	03/01/2019	Occur~General Aggregate Limit Applies Per Policy~Commercial General Liability	Products - Comp/Op Agg $3,000,000~Personal & Adv Injury $1,000,000~General Aggregate $3,000,000~Damage To Rented Premises (Each Occurrence) $1,000,000~Each Occurrence $1,000,000~Medical Expense (Any One Person) $15,000	S	05/04/2010	2023	1111	143	2022	22	301	8	138	4	44	90	A	CARRIER/BROKER	Interstate		156810001	2017	10/30/2018	1343	1535	Y	N	Y	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	Y	N	N	N	Y	N	Y	N	
		2	ZIJAD KADIC	FLAX TRUCKING	2920 DOUGLAS AVE APT #9	DES MOINES	IA	50310	5155545597		MC	553607	1442672																																																																													1	0	0	1	0	0	0	0	0	0	0	A	CARRIER	Interstate		165000	2013	07/10/2017	1	1	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	
		2	BESTWAY TRANSPORT LLC	BESTWAY TRUCKING	8503 78TH AVE NE	MARYSVILLE	WA	98270	4253453677		MC	633283	1728303				A	N	N	N	N	N	N	N	N	750000	N	N							CA 7686863	UNITED FINANCIAL CASUALTY COMPANY	0	750000	06/01/2018								12/01/2018	06/01/2019	N		High	07686863-1	TEC EQUIPMENT INC.	5032857667	5038024238	UNITED FINANCIAL CASUALTY CO.	12/04/2018		100000	Limit $100,000~Deductible $1,000	12/01/2018	06/01/2019	N		High	07686863-1	TEC EQUIPMENT INC.	5032857667	5038024238	UNITED FINANCIAL CASUALTY CO.	12/04/2018	Y	Scheduled Autos	Combined Single Limit (Each Accident) $1,000,000~UNDERINSURED MOTORIST COMBINED SIR $100,000																58	29	8	58	2	0	0	0	0	0	0	A	CARRIER	Interstate		1980590	2017	06/11/2018	1	1	Y	N	Y	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	
		2	PACIFIC GATEWAY TRANSPORT INC		1313 E MAPLE STREET SUITE 232	BELLINGHAM	WA	98225	2068588450		MC	636509	1737910				N	A	N	N	N	N	N	N	N	1000000	N	N							MCP38312A	GREAT WEST CASUALTY CO.	0	1000000	03/20/2018								03/20/2019	03/20/2020	N		High	SML93076152	UTAH-HUB INTERNATIONAL TRANSPORTATION INSURANCE	8007485012		AGCS MARINE INSURANCE COMPANY	03/22/2019		100000	Deductible $2,500~Limit $100,000	03/20/2019	03/20/2020	N		High	MCP38312B	UTAH-HUB INTERNATIONAL TRANSPORTATION INSURANCE	8007485012		GREAT WEST CASUALTY COMPANY	03/22/2019	Y	Hired Autos~See Description Box~Scheduled Autos~Non-owned Autos	Combined Single Limit (Each Accident) $1,000,000	03/20/2019	03/20/2020	N		High	MCP38312B	UTAH-HUB INTERNATIONAL TRANSPORTATION INSURANCE	8007485012		GREAT WEST CASUALTY COMPANY	03/22/2019	General Aggregate Limit Applies Per Policy	Each Occurrence $1,000,000~Personal & Adv Injury $1,000,000~General Aggregate $2,000,000~Products - Comp/Op Agg $1,000,000~Medical Expense (Any One Person) $5,000~Damage To Rented Premises (Each Occurrence) $100,000	S	03/04/2010	66	40	11	66	4	0	0	0	0	0	0	A	CARRIER	Interstate		1050000	2017	11/20/2018	12	12	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	
